,customer,arrival time,serving time,departure time,time in queue,time in system,time in server
0,1,1.3856560177075319,1.3856560177075319,2.7418114842273322,0.0,1.3561554665198003,1.3561554665198003
1,2,12.304999117655527,12.304999117655527,14.426262220939511,0.0,2.121263103283985,2.121263103283985
2,3,21.413092181419486,21.413092181419486,21.57340531514357,0.0,0.16031313372408462,0.16031313372408462
3,4,29.728981215324545,29.728981215324545,30.608511818525628,0.0,0.8795306032010828,0.8795306032010828
4,5,35.43764212824515,35.43764212824515,37.54043294716589,0.0,2.102790818920738,2.102790818920738
5,6,41.58422072359258,41.58422072359258,42.07968466029282,0.0,0.49546393670024,0.49546393670024
6,7,47.618820088197026,47.618820088197026,50.303872615829725,0.0,2.685052527632699,2.685052527632699
7,8,48.79698577449024,50.303872615829725,50.55734997098246,1.5068868413394867,1.760364196492219,0.2534773551527323
8,9,49.3728051244735,50.55734997098246,52.867120422060076,1.184544846508956,3.4943152975865743,2.3097704510776182
9,10,50.094103024195164,52.867120422060076,53.868026727726395,2.773017397864912,3.7739237035312314,1.0009063056663194
10,11,57.13199432274759,57.13199432274759,58.989029863238116,0.0,1.8570355404905285,1.8570355404905285
11,12,61.30696133322894,61.30696133322894,63.511699799908754,0.0,2.2047384666798138,2.2047384666798138
12,13,62.22323226269286,63.511699799908754,63.917750392881786,1.2884675372158938,1.694518130188925,0.40605059297303114
13,14,68.29944076654202,68.29944076654202,69.36690941935576,0.0,1.0674686528137443,1.0674686528137443
14,15,70.08368432264805,70.08368432264805,71.1217107467185,0.0,1.038026424070452,1.038026424070452
15,16,71.1894206907763,71.1894206907763,71.27835864543626,0.0,0.08893795465995424,0.08893795465995424
16,17,73.9372717017978,73.9372717017978,73.96595407947225,0.0,0.028682377674456916,0.028682377674456916
17,18,75.8481641365298,75.8481641365298,78.01690608047886,0.0,2.1687419439490583,2.1687419439490583
18,19,78.7310734661883,78.7310734661883,78.87501335554639,0.0,0.1439398893580801,0.1439398893580801
19,20,95.33424474922761,95.33424474922761,95.64423497530015,0.0,0.3099902260725429,0.3099902260725429
20,21,117.07736040922507,117.07736040922507,118.55961643285873,0.0,1.482256023633667,1.482256023633667
21,22,121.27017773466312,121.27017773466312,121.57087528969033,0.0,0.30069755502721307,0.30069755502721307
22,23,122.41042645658136,122.41042645658136,123.35664773132011,0.0,0.9462212747387468,0.9462212747387468
23,24,124.36586597866676,124.36586597866676,125.17675829315239,0.0,0.8108923144856277,0.8108923144856277
24,25,126.37526246556307,126.37526246556307,127.08998899611295,0.0,0.714726530549882,0.714726530549882
25,26,128.14263239629278,128.14263239629278,130.2904581203187,0.0,2.147825724025921,2.147825724025921
26,27,129.1266281756182,130.2904581203187,133.2846715215688,1.1638299447004954,4.1580433459506025,2.994213401250107
27,28,130.79935885158557,133.2846715215688,134.3537915212603,2.4853126699832444,3.554432669674725,1.0691199996914804
28,29,133.74028627855353,134.3537915212603,138.97701628842378,0.6135052427067649,5.236730009870257,4.623224767163492
29,30,135.07631093688013,138.97701628842378,139.0465789798637,3.9007053515436496,3.9702680429835766,0.069562691439927
30,31,140.33837481246604,140.33837481246604,140.80722382893018,0.0,0.4688490164641337,0.4688490164641337
31,32,148.31991530178232,148.31991530178232,148.78597921678792,0.0,0.4660639150056056,0.4660639150056056
32,33,154.71486964386756,154.71486964386756,156.26942810416674,0.0,1.5545584602991767,1.5545584602991767
33,34,156.10805361442038,156.26942810416674,157.20521468189682,0.1613744897463505,1.097161067476435,0.9357865777300844
34,35,161.28822525820138,161.28822525820138,161.93673441819297,0.0,0.6485091599915904,0.6485091599915904
35,36,163.43940628354366,163.43940628354366,166.04981280142528,0.0,2.6104065178816143,2.6104065178816143
36,37,168.38721829363263,168.38721829363263,168.78569670485118,0.0,0.398478411218548,0.398478411218548
37,38,172.0331375278968,172.0331375278968,174.3531496680637,0.0,2.3200121401669094,2.3200121401669094
38,39,201.33029729329738,201.33029729329738,201.64297379537797,0.0,0.31267650208059194,0.31267650208059194
39,40,205.2545021025814,205.2545021025814,207.79292322167493,0.0,2.5384211190935275,2.5384211190935275
40,41,206.1954932747451,207.79292322167493,207.85696240351564,1.5974299469298217,1.661469128770534,0.06403918184071244
41,42,207.15609521662603,207.85696240351564,208.2650124902247,0.7008671868896101,1.1089172735986779,0.4080500867090677
42,43,209.6231767730427,209.6231767730427,211.4369860816194,0.0,1.8138093085767082,1.8138093085767082
43,44,211.45615684398996,211.45615684398996,211.46313544225688,0.0,0.006978598266925928,0.006978598266925928
44,45,220.29575741737509,220.29575741737509,221.65579029953025,0.0,1.360032882155167,1.360032882155167
45,46,222.83406933037486,222.83406933037486,223.64395184912416,0.0,0.8098825187493048,0.8098825187493048
46,47,224.42900118088303,224.42900118088303,224.6760980355551,0.0,0.24709685467206555,0.24709685467206555
47,48,229.7232667410838,229.7232667410838,230.2310170977688,0.0,0.5077503566850226,0.5077503566850226
48,49,234.3182393058385,234.3182393058385,234.48340466650222,0.0,0.16516536066373533,0.16516536066373533
49,50,245.43990155633756,245.43990155633756,245.54376211114425,0.0,0.10386055480668688,0.10386055480668688
50,51,246.1674442092364,246.1674442092364,248.10551192031744,0.0,1.9380677110810325,1.9380677110810325
51,52,248.96711601966084,248.96711601966084,249.29320635919308,0.0,0.326090339532243,0.326090339532243
52,53,260.3308479962223,260.3308479962223,260.3517559637366,0.0,0.02090796751429025,0.02090796751429025
53,54,262.51291395490864,262.51291395490864,262.5933492092593,0.0,0.08043525435067522,0.08043525435067522
